svc_name, endpoint, coef
saaee,saaee@POST@/light,{'saaee@POST@/light': 5.09344283367998e-06, 'intercept': 3.550286115135286}
saaee,saaee@POST@/heavy,{'saaee@POST@/heavy': 5.909699625452249e-06, 'intercept': 2.2043203958726907}
mc59ee,mc59ee@POST@/light,{'mc59ee@POST@/light': 6.393960975882057e-07, 'intercept': 1.210871245369994}
mc59ee,mc59ee@POST@/heavy,{'mc59ee@POST@/heavy': 4.1853836639083417e-07, 'intercept': 1.0938664015904866}
mc12c6,mc12c6@POST@/light,{'mc12c6@POST@/light': 6.005202797031308e-08, 'intercept': 1.22035392957726}
mc12c6,mc12c6@POST@/heavy,{'mc12c6@POST@/heavy': 4.471967842643178e-07, 'intercept': 1.0963589517027033}
sslateingress,sslateingress@POST@/light,{'sslateingress@POST@/light': 1.74932550980632e-05, 'intercept': 0.0884006668840469}
sslateingress,sslateingress@POST@/heavy,{'sslateingress@POST@/heavy': 1.9133336577469157e-05, 'intercept': 1}
mc9653,mc9653@POST@/light,{'mc9653@POST@/light': 6.912583005843958e-07, 'intercept': 1.0277486999108991}
mc9653,mc9653@POST@/heavy,{'mc9653@POST@/heavy': 2.796176303898122e-07, 'intercept': 1.1589548652932604}
mc676c,mc676c@POST@/light,{'mc676c@POST@/light': 2.171135624976277e-07, 'intercept': 1.1771434266656908}
mc676c,mc676c@POST@/heavy,{'mc676c@POST@/heavy': 2.953537446298424e-07, 'intercept': 1.166884037707584}
dbd1b5,dbd1b5@POST@/light,{'dbd1b5@POST@/light': 2.1539504764035309e-07, 'intercept': 1.3138241067544032}
dbd1b5,dbd1b5@POST@/heavy,{'dbd1b5@POST@/heavy': 6.982554697534307e-07, 'intercept': 1.810356361174924}
mc660d,mc660d@POST@/light,{'mc660d@POST@/light': 2.646873111690849e-07, 'intercept': 1.1598304279306282}
mc660d,mc660d@POST@/heavy,{'mc660d@POST@/heavy': 1.416841969101994e-07, 'intercept': 1.1859035619707234}
db10bb,db10bb@POST@/light,{'db10bb@POST@/light': 7.292858612748261e-07, 'intercept': 1.0355393880708184}
db10bb,db10bb@POST@/heavy,{'db10bb@POST@/heavy': 5.160908085987708e-07, 'intercept': 1.8930373950075623}
mc46a6,mc46a6@POST@/light,{'mc46a6@POST@/light': 3.319855613666168e-07, 'intercept': 1.1129042588781863}
mc46a6,mc46a6@POST@/heavy,{'mc46a6@POST@/heavy': 1.1728838114638273e-07, 'intercept': 1.2543984061088689}
sd03b,sd03b@POST@/light,{'sd03b@POST@/light': 3.835681790181709e-05, 'intercept': 14.654986792126127}
sd03b,sd03b@POST@/heavy,{'sd03b@POST@/heavy': 8.053024642159558e-05, 'intercept': 1}
mcd096,mcd096@POST@/light,{'mcd096@POST@/light': 1.351031365958792e-07, 'intercept': 1.335622740206027}
mcd096,mcd096@POST@/heavy,{'mcd096@POST@/heavy': 4.818333674956693e-07, 'intercept': 1.0764486390839827}
db2af0,db2af0@POST@/light,{'db2af0@POST@/light': 2.5168377642981816e-07, 'intercept': 1.1679630449802731}
db2af0,db2af0@POST@/heavy,{'db2af0@POST@/heavy': 3.2227526541821826e-07, 'intercept': 1.9857779939207871}
s222f,s222f@POST@/light,{'s222f@POST@/light': 1.1221622223140472e-05, 'intercept': 2.739935434048328}
s222f,s222f@POST@/heavy,{'s222f@POST@/heavy': 5.719548175441294e-06, 'intercept': 3.543749201547636}
db3dd1,db3dd1@POST@/light,{'db3dd1@POST@/light': 2.591178502760438e-07, 'intercept': 1.2753951836947677}
db3dd1,db3dd1@POST@/heavy,{'db3dd1@POST@/heavy': 2.47692505968438e-07, 'intercept': 1.996747066303516}
s6f83,s6f83@POST@/light,{'s6f83@POST@/light': 7.408459360125098e-05, 'intercept': 1}
s6f83,s6f83@POST@/heavy,{'s6f83@POST@/heavy': 2.6131350245993867e-05, 'intercept': 8.652078126364788}
s4dd6,s4dd6@POST@/light,{'s4dd6@POST@/light': 7.015387981659173e-06, 'intercept': 1.898272162905282}
s4dd6,s4dd6@POST@/heavy,{'s4dd6@POST@/heavy': 9.461367771934778e-06, 'intercept': 1.8544443185663089}
mc01d6,mc01d6@POST@/light,{'mc01d6@POST@/light': 0, 'intercept': 1.3447416945264952}
mc01d6,mc01d6@POST@/heavy,{'mc01d6@POST@/heavy': 2.261662727918564e-07, 'intercept': 1.2233080304423103}
mcc324,mcc324@POST@/light,{'mcc324@POST@/light': 2.566349675172539e-07, 'intercept': 1.3950477914001738}
mcc324,mcc324@POST@/heavy,{'mcc324@POST@/heavy': 1.9926101097880037e-07, 'intercept': 1.248760315335629}
